,Total_Importance,Xx,Yy,Size,Segment
271,1.8546966493213877,112,80,2.754990816116333,115
272,1.2273904728612794,93,80,5.0570549964904785,107
273,0.6466249547738593,86,81,2.030895233154297,83
274,1.5402929183390155,13,82,8.935027122497559,19
275,1.1685114433564774,24,82,5.143581867218018,36
276,1.385203797101854,67,82,2.250584363937378,83
277,0.6367446129357461,28,83,1.83278489112854,43
278,0.6989431848512635,96,84,2.928209066390991,115
279,0.7034088987606318,4,84,1.8339639902114868,5
280,1.6305864990048178,74,85,2.6673572063446045,83
281,0.6132680212473836,131,85,2.109109401702881,164
282,2.3043851810986427,155,85,2.0218145847320557,184
283,1.0035130686212932,88,85,7.665954113006592,107
284,0.5857427477733913,82,86,2.724074125289917,83
285,1.0167088092172594,78,86,2.255682945251465,83
286,0.5557480886927213,76,86,7.648646831512451,83
287,1.193986230067203,120,88,2.717975616455078,135
288,1.2772296668147236,120,88,2.717975616455078,135
289,2.101693323672972,116,89,2.010122060775757,135
290,2.0304463389140763,116,89,2.010122060775757,135
291,1.7870869594123655,88,89,2.032306432723999,107
292,1.7767728748306664,88,89,2.032306432723999,107
293,0.589640563464247,68,89,2.3103981018066406,83
294,2.3069987877089653,123,89,2.1354317665100098,151
295,0.6148060545852461,65,89,1.978798270225525,73
296,0.5410246184671947,55,91,2.967592239379883,52
297,1.2268961822880204,106,91,2.0512149333953857,118
298,1.2112887153649488,137,91,2.1237010955810547,151
299,0.5841813511247969,69,92,2.3145744800567627,73
300,0.5860288387478615,69,92,2.454622745513916,73
301,1.4912516114305627,114,93,2.575950860977173,137
302,1.0397157704627724,85,94,5.551228046417236,88
303,1.8975604535702866,153,95,6.1507649421691895,174
304,1.644804137858979,153,95,6.1507649421691895,174
305,1.7121654024640582,153,95,6.1507649421691895,174
306,0.5750540801395329,128,96,3.730295181274414,151
307,0.6598595612864475,86,97,2.3840270042419434,88
308,1.1982509276322573,71,98,3.243558645248413,73
309,1.0903315043558348,113,99,2.2636935710906982,137
310,0.6285484920684787,54,100,2.0297250747680664,54
311,0.5462816415404663,117,100,15.967660903930664,137
312,1.8712417239205235,5,101,3.0443062782287598,15
313,1.5391352034496015,134,102,2.955552577972412,165
314,1.650438038188966,134,102,2.955552577972412,165
315,1.2133930436126659,65,102,27.000045776367188,73
316,1.1385203237207202,65,102,27.000045776367188,73
317,1.272628371966892,80,103,2.7950971126556396,88
318,0.5428628915844181,128,103,1.8381671905517578,137
319,1.912802696877338,128,103,1.8381671905517578,137
320,1.656684359211032,112,103,2.0477778911590576,137
321,1.8427607307594591,113,104,3.853513479232788,137
322,1.8978992059743955,113,104,3.853513479232788,137
323,0.656255220457433,83,104,2.0818934440612793,92
324,0.6785243027748795,124,104,6.1967267990112305,137
325,0.6223988129784939,88,104,8.419280052185059,106
326,0.6549277563851312,52,106,3.0010807514190674,39
327,0.603122513827067,127,106,2.3187003135681152,137
328,1.3500435200679155,140,108,3.8202760219573975,166
329,1.3031268937755893,116,109,4.707638263702393,137
330,1.0555872925074707,99,109,5.4134111404418945,116
331,1.5067882054642086,99,109,2.165520429611206,116
332,1.2824967112201202,77,110,2.5930392742156982,73
333,1.3121025257018633,95,111,2.569105386734009,95
334,0.6219939312691609,48,111,2.9511451721191406,39
335,0.7562208321052517,129,111,6.014538288116455,166
336,1.0492377903757935,277,112,2.2745437622070312,318
337,2.0097897760792183,35,113,19.444997787475586,38
338,1.7880626311366874,104,113,2.0767710208892822,116
339,1.2240769846823392,77,113,5.28051233291626,73
340,0.558931020357669,51,114,2.2637386322021484,65
341,1.4465573782840606,61,114,2.0385780334472656,73
342,1.0509651033276761,61,114,2.0385780334472656,73
343,2.4453374803578174,201,115,1.8838247060775757,205
344,1.2638358307709028,286,120,7.877798557281494,307
345,1.377787182634053,6,122,2.0567991733551025,3
346,1.6859879745173825,75,122,1.9268907308578491,95
347,2.0309516068430407,75,122,1.9268907308578491,95
348,1.4117026858594761,60,123,1.9773145914077759,73
349,1.1975526901211793,60,123,1.9773145914077759,73
350,1.376227413099146,205,124,1.9413098096847534,235
351,1.268620398444894,205,124,1.9413098096847534,235
352,1.462324990188344,286,124,2.1677913665771484,307
353,0.6691823154318781,93,124,2.630479574203491,116
354,0.6115340386699321,81,124,3.8789851665496826,95
355,1.489099387982192,196,124,94.26695251464844,196
356,0.5685087446680768,71,125,4.8839216232299805,73
357,0.570661245475268,64,126,3.863534927368164,71
358,1.4427212243632104,74,126,2.70597243309021,73
359,1.8675945863279877,57,128,2.2936527729034424,71
360,1.443928234639363,261,128,1.9702180624008179,294
361,1.1295359456163148,66,129,1.8598737716674805,73
362,1.9733877253437493,285,130,4.7289958000183105,307
363,1.6787637662874648,282,130,1.996619462966919,307
364,1.5853286446374746,282,130,1.996619462966919,307
365,0.5819784619402407,88,132,2.931696891784668,109
366,0.6916287678077494,88,132,2.931696891784668,109
367,1.1317544298820057,57,132,2.500821828842163,71
368,1.8475489722907161,41,133,2.5294084548950195,40
369,0.5812467073938586,154,134,1.9657732248306274,175
370,1.3468194503714772,61,135,2.3373827934265137,71
371,1.705320989878884,71,136,3.2295010089874268,55
372,1.5612067199975026,296,136,2.594352960586548,328
373,1.3758699711888807,27,136,2.398367166519165,45
374,1.3454944228774488,288,137,2.1507728099823,328
375,0.6179522452330328,82,138,2.6305055618286133,109
